,NCT Number,Title,Interventions,Phases,Official Title
713,NCT00607854,safeti of ibritumomab tiuxetan zevalin® in combin with a fludarabinebas reduc intens condit ric regimen zevallo 2007,['ibritumomab tiuxetan '],['2'],safeti and efficaci of ibritumomab tiuxetan zevalin® in associ with a fludarabin base reduc condit regimen and allogen stem cell support in chemosensit relaps cd20 posit aggress nonhodgkin lymphoma patients
714,NCT01805375,a phase i trial of dib4 in patient with advanc cd19 posit indol bcell malign,['di-b4'],['1'],a cancer research uk phase i trial of the anticd19 dib4 monoclon antibodi given intravenously week for four weeks in patient with advanc cd19 posit indol bcell malign
716,NCT01992653,a studi of polatuzumab vedotin in combin with rituximab or obinutuzumab cyclophosphamide doxorubicin and prednison in particip with bcell nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin', 'obinutuzumab', 'polatuzumab vedotin', 'prednisolone', 'prednisone', 'rituximab']","['1', '2']",a phase ibii studi evalu the safety toler and antitumor activ of polatuzumab vedotin dcds4501a in combin with rituximab or obinutuzumab cyclophosphamide doxorubicin and prednison in patient with bcell nonhodgkin lymphoma
717,NCT01691807,drugdrug interact studi of ofatumumab with bendamustin in subject with indol bcell nonhodgkin lymphoma,"['ofatumumab', 'bendamustine']",['1'],an openlabel phase i drugdrug interact studi of ofatumumab with bendamustin for the treatment of subject with indol bcell nonhodgkin lymphoma
718,NCT01549886,phase 2 studi of zevalin versus zevalin and motexafin gadolinium in patient with rituximabrefractori lowgrad or follicular bcell nonhodgkin lymphoma,"['zevalin regimen', 'moxtezafin gadolinium']",['2'],a randomized openlabel multicenter phase 2 studi of zevalin 90y ibritumomab tiuxetan versus zevalin and motexafin gadolinium in patient with rituximab refractori lowgrad or follicular bcell nonhodgkin lymphoma
719,NCT01294579,ofatumumab and bendamustin follow by mainten ofatumumab for rituximab relaps indol bcell nonhodgkin lymphoma bnhl,['bendamustine'],['2'],a phase ii openlabel studi of ofatumumab and bendamustin follow by mainten ofatumumab for indol bcell nonhodgkin lymphoma bnhl which has relaps after rituximab or a rituximab contain therapi
723,NCT01840566,high dose therapi and autolog stem cell transplant follow by infus of chimer antigen receptor car modifi tcell direct against cd19 bcell for relaps and refractori aggress b cell nonhodgkin lymphoma,"['carmustine', 'etoposide', 'cytarabine', 'melphalan']",['1'],a phase i trial of high dose therapi and autolog stem cell transplant follow by infus of chimer antigen receptor car modifi tcell direct against cd19 bcell for relaps and refractori aggress b cell nonhodgkin lymphoma
725,NCT00073957,y 90 ibritumomab tiuxetan rituximab relaps or refractori diffus larg bcell nonhodgkin lymphoma,"['cytarabine', 'liposomal cytarabine']",['2'],zevalin and rituxan for the treatment of relaps or refractori diffus larg bcell nonhodgkin lymphoma
727,NCT01108341,studi to evalu the efficaci and safeti of treatment with bendamustin in combin with ofatumumab in previous untreat patient with indol bcell nonhodgkin lymphoma nhl,"['bendamustine hydrochloride', 'ofatumumab']",['2'],an openlabel studi to evalu the efficaci and safeti of treatment with bendamustin in combin with ofatumumab in previous untreat patient with indol bcell nonhodgkin lymphoma nhl
728,NCT00389818,combin chemotherapi and rituximab in treat patient with newli diagnos aidsrel bcell nonhodgkin lymphoma,"['cyclophosphamide', 'pegylated liposomal doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],a phase ii trial of doxil rituximab cyclophosphamide vincristine and prednison drcop in patient with newli diagnos aidsassoci bcell nonhodgkin lymphoma
729,NCT00303953,pxd101 in treat patient with relaps or refractori aggress bcell nonhodgkin lymphoma,['belinostat'],['2'],phase ii studi of pxd101 nsc726630 in relaps and refractori aggress bcell lymphoma
730,NCT00549185,multidoseescal safeti and pharmacokinet studi of sar3419 as singl agent in relapsedrefractori bcell non hodgkin lymphoma,['sar3419'],['1'],an openlabel multidoseescalation safeti and pharmacokinet studi of sar3419 administ as a singl agent by intraven infus everi 3 week in patient with relapsedrefractori bcell nonhodgkin lymphoma nhl
732,NCT00911183,rituximab cyclophosphamide vincristin sulfate and prednison with or without liposomeencapsul doxorubicin citrat in treat older patient with stage ii stage iii or stage iv diffus larg bcell nonhodgkin lymphoma,"['cyclophosphamide', 'liposome-encapsulated doxorubicin citrate', 'prednisone', 'vincristine sulfate']",['2'],diffus larg b cell nonhodgkin lymphoma in the vulnerablefrail elderly a multicentr random phase ii trial with emphasi on geriatr assess and qualiti of life
733,NCT00193479,combin chemotherapi and rituximab with pegfilgrastim follow by rituximab in larg bcell nonhodgkin lymphoma,"['cyclophosphamide', 'mitoxantrone', 'vincristine', 'prednisone', 'rituximab']",['2'],a phase ii trial of brief durat combin chemotherapi and rituximab with prophylact pegfilgrastim follow by mainten rituximab in elderlypoor perform status patient with larg bcell nonhodgkin lymphoma
734,NCT00556699,a studi of sgn40 in combin with rituximab in patient with cd20positive follicular and margin zone bcell nonhodgkin lymphoma,"['rituximab', 'sgn-40']",['1'],an openlabel phase ib studi of the safety pharmacokinetics and activ of the anticd40 monoclon antibodi sgn40 administ in combin with rituximab in patient with cd20positive follicular and margin zone bcell nonhodgkin lymphoma who have relaps follow previous rituximab therapi
739,NCT02180711,studi of acalabrutinib alon or in combin with rituximab in indol bcell nonhodgkin lymphoma,"['acalabrutinib', 'rituximab ']","['1', '2']",an openlabel phase 1b2 studi of acalabrutinib alon or in combin with rituximab in subject with indol b cell nonhodgkin lymphoma
740,NCT00741871,a phase 1 studi of sb1518 for the treatment of advanc lymphoid malign,['sb1518'],['1'],a phase 1 studi of sb1518 for the treatment of advanc lymphoid malign
741,NCT01665768,mainten rituximab with mtor inhibit after highdos consolid therapi in lymphoma,"['everolimus', 'rituximab']",['2'],a trial of mainten rituximab with mtor inhibit after highdos consolid therapi in cd20 bcell lymphomas gray zone lymphoma and hodgkin lymphoma
742,NCT00001512,activ specif immunotherapi for follicular lymphoma with tumorderiv immunoglobulin idiotyp antigen vaccin,"['id-klh vaccine', 'gm-csf']",['1'],activ specif immunotherapi for follicular lymphoma with tumorderiv immunoglobulin idiotyp antigen vaccin
743,NCT01120834,studi of 5azacitidin in combin with vorinostat in patient with relaps or refractori diffus larg b cell lymphoma dlbcl,"['azacytidine', 'vorinostat']","['1', '2']",phase iii studi of 5azacitidin in combin with vorinostat in patient with relaps or refractori dlbcl
744,NCT00577278,yttrium y 90 ibritumomab tiuxetan rituximab indium in111 ibritumomab tiuxetan fludarabine melphalan and donor stem cell transplant in treat patient with bcell nonhodgkin lymphoma,"['fludarabine phosphate', 'melphalan', 'sirolimus', 'tacrolimus']",['2'],a phase ii studi of allogen hematopoiet stem cell transplant for bcell nonhodgkin lymphoma use zevalin fludarabin and melphalan
745,NCT00612183,clinic studi on syb l0501 in patient with indol bcell nonhodgkin lymphoma or mantl cell lymphoma,['bendamustine hydrochloride'],['2'],phase ii clinic studi on syb l0501 in patient with indol bcell nonhodgkin lymphoma or mantl cell lymphoma multicenter openlabel study
746,NCT01955668,azd6738 first time in patient multipl ascend dose studi,['administration of azd6738'],['1'],a twopart phase i openlabel multicentr studi to assess the safety tolerability pharmacokinetics pharmacodynam and preliminari antitumour activ of multipl ascend dose of azd6738 in patient with relapsedrefractori b cell malign with expans to patient with prospect identifi 11qdelet or atmdeficient relapsedrefractori chronic lymphocyt leukaemia cll
747,NCT00101010,rituximab and combin chemotherapi in treat older patient with diffus larg bcell lymphoma,"['cyclophosphamide', 'pegylated liposomal doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['2'],a phase ii studi of rituximabchop with pegyl liposom doxorubicin in patient older than 60 year of age with untreat aggress bcell nonhodgkin lymphoma
749,NCT01077518,ofatumumab and bendamustin combin therapi compar with bendamustin monotherapi in indol bcell nonhodgkin lymphoma nhl unrespons to rituximab or a rituximabcontain regimen,"['ofatumumab', 'bendamustine infusions ', 'bendamustine infusion ']",['3'],a randomized open label studi of ofatumumab and bendamustin combin therapi compar with bendamustin monotherapi in indol bcell nonhodgkin lymphoma unrespons to rituximab or a rituximabcontain regimen dure or within six month of treatment
750,NCT00278408,rituximab and combin chemotherapi with or without radiat therapi in treat patient with bcell nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['3'],random studi compar an immunochemotherapi with 6 cycl of the monoclon anticd20 antibodi rituximab in combin with 6 cycl of chemotherapi with chop  cyclophosphamide doxorubicin vincristine and prednisone at 21day interv or 14day intervals both with or without consolid radiotherapi or larg tumour mass ≥75 cm andor extranod involv in patient with aggress cd20 bcell lymphoma age 18 to 60 year with ageadjust ipi1 all or ipi0 with a larg tumour mass ≥75 cm unfold 2114 study
751,NCT00062296,epirubicin and rituximab in treat patient with relaps or refractori bcell nonhodgkin lymphoma or chronic lymphocyt leukemia,['epirubicin hydrochloride'],['2'],phase ii studi of epirubicin and rituximab in relaps and refractori bcell nonhodgkin lymphoma and cll
752,NCT00974792,combin chemotherapi and rituximab in treat patient with diffus larg bcell nonhodgkin lymphoma,"['cyclophosphamide', 'cytarabine', 'doxorubicin hydrochloride', 'etoposide phosphate', 'ifosfamide', 'leucovorin calcium', 'methotrexate', 'vincristine sulfate']",['2'],a phase ii singl arm studi of the use of codoxmivac with rituximab rcodoxmivac in the treatment of patient with diffus larg bcell lymphoma intern prognost index high or highintermedi risk
753,NCT00001572,vaccin of follicular lymphoma with tumorderiv immunoglobulin idiotyp,"['id-klh vaccine', 'qs-21 ']",['1'],vaccin of follicular lymphoma with tumorderiv immunoglobulin idiotyp
755,NCT00695409,yttrium90 ibritumomab tiuxetan plus highdos beam follow by asct for relaps bcell nonhodgkin lymphoma,"['carmustine', 'cytarabine', 'etoposide', 'melphalan']",['2'],a phase ii studi of yttrium90label anticd20 monoclon antibodi in combin with highdos beam follow by autolog stem cell transplant for poor riskrelaps bcell lymphoma
757,NCT00765245,lenalidomid with or without rituximab after standard chemotherapi in treat patient with diffus larg bcell nonhodgkin lymphoma,"['lenalidomide', 'rituximab']",['2'],a phase ii random studi of lenalidomid or lenalidomid and rituximab as mainten therapi follow standard chemotherapi for patient with highhighintermedi risk diffus larg bcell lymphoma
761,NCT02017613,safeti and efficaci studi of a dual pi3k deltagamma inhibitor in hematolog malign,['rp6530'],['1'],a phase i dose escal studi to evalu safeti and efficaci of rp6530 a dual pi3k deltagamma inhibitor in patient with relaps or refractori hematolog malign
762,NCT00498043,a studi of two associ of rituximab and chemotherapy with a petdriven strategy in lymphoma,"['r-chop14 induction regimen', 'r-acvbp14 induction regimen']",['2'],random phase ii studi of two associ of rituximab and chemotherapy with a pet driven strategy in patient from 18 to 59 with dlbcl cd20 lymphoma and 2 or 3 advers prognost factor of the ageadjust ipi
763,NCT00079443,fr901228 alon or combin with rituximab and fludarabin in treat patient with relaps or refractori lowgrad bcell nonhodgkin lymphoma,"['romidepsin', 'fludarabine phosphate']",['2'],a phase ii studi of singl agent depsipeptid nsc 630176 follow by a phase i studi of rituximabfludarabin combin with an escal dose of depsipeptid in relaps or refractori low grade b cell lymphoma
764,NCT02572453,onalespib in treat patient with relaps or refractori anaplast larg cell lymphoma mantl cell lymphoma or diffus larg bcell lymphoma,['onalespib'],['2'],phase 2 studi of at13387 onalespib in alk alcl mcl and bcl6 dlbcl
765,NCT00875056,studi of vorinostat mk0683 with follicular lymphoma fl other indol bcell nonhodgkin lymphoma bnhl or mantl cell lymphoma mcl patient mk0683103,['vorinostat'],['2'],a phase ii studi of mk0683 in patient with relaps  refractori follicular lymphoma fl other indol bcell nonhodgkin lymphoma bnhl or mantl cell lymphoma mcl
766,NCT01980654,studi of the bruton tyrosin kinas inhibitor in combin with rituximab in previous untreat subject with follicular lymphoma,"['ibrutinib', 'rituximab']",['2'],a multicenter openlabel phase 2 studi of the bruton tyrosin kinas btk inhibitor ibrutinib in combin with rituximab in previous untreat subject with follicular lymphoma
767,NCT01282424,efficaci and safeti studi of idelalisib in subject with indol bcell nonhodgkin lymphoma,['idelalisib'],['2'],a phase 2 studi to assess the efficaci and safeti of idelalisib in subject with indol bcell nonhodgkin lymphoma refractori to rituximab and alkyl agent
769,NCT02254772,a phase iii studi of intratumor inject of sd101,['sd-101'],"['1', '2']",a phase iii studi of intratumor inject of sd101 an immunostimulatori cpg and intratumor inject of ipilimumab an antictla4 monoclon antibody in combin with local radiat in lowgrad bcell lymphoma
