"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
618,"NCT03366350","Anti-CD19 CAR-T Therapy Bridging to HSCT for CD19+ B-Cell Malignancies",,"Recruiting","No Results Available","Genetic: Second generation CAR-T cells|Procedure: Hematological stem cell transplantation","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03366350"
619,"NCT03366324","Anti-CD19 CAR-T Therapy Combine With HSCT to Treat MRD+ B-cell Malignancies",,"Recruiting","No Results Available","Genetic: Second generation CAR-T cells|Procedure: Hematological stem cell transplantation","Phase 1","null","https://ClinicalTrials.gov/show/NCT03366324"
620,"NCT01284192","Study of an Investigational Drug, ASP3026, in Patients With Advanced Malignancies (Solid Tumors and B-Cell Lymphoma)",,"Completed","No Results Available","Drug: ASP3026","Phase 1","null","https://ClinicalTrials.gov/show/NCT01284192"
621,"NCT02965092","CD19 Chimeric Antigen Receptor (CAR)-Modified T Cell Therapy in Treating Patients With B-cell Malignancies",,"Recruiting","No Results Available","Genetic: Second generation CAR-T cells","Phase 1","null","https://ClinicalTrials.gov/show/NCT02965092"
622,"NCT02300402","Detection and Characterization of Residual Masses in Lymphomas","ADAMANTIUS","Recruiting","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT02300402"
623,"NCT02611323","A Study of Obinutuzumab, Rituximab, Polatuzumab Vedotin, and Venetoclax in Relapsed or Refractory Follicular Lymphoma (FL) or Diffuse Large B-Cell Lymphoma (DLBCL)",,"Recruiting","No Results Available","Drug: Obinutuzumab|Drug: Rituximab|Drug: Polatuzumab Vedotin|Drug: Venetoclax","Phase 1","null","https://ClinicalTrials.gov/show/NCT02611323"
624,"NCT02413489","An Efficacy and Safety Proof of Concept Study of Daratumumab in Relapsed/Refractory Mantle Cell Lymphoma, Diffuse Large B-Cell Lymphoma, and Follicular Lymphoma",,"Terminated","Has Results","Drug: Daratumumab","Phase 2","June 25, 2018","https://ClinicalTrials.gov/show/NCT02413489"
625,"NCT00703664","Bortezomib and Vorinostat in Treating Patients With Recurrent Mantle Cell Lymphoma or Recurrent and/or Refractory Diffuse Large B-Cell Lymphoma",,"Completed","Has Results","Drug: Bortezomib|Other: Laboratory Biomarker Analysis|Drug: Vorinostat","Phase 2","August 7, 2018","https://ClinicalTrials.gov/show/NCT00703664"
626,"NCT02787239","Clinical Study to Compare the Efficacy and Safety of Rituximab Biosimilar HLX01 and Rituximab in Combination With CHOP, in Previously Untreated Subjects With CD20+ DLBCL",,"Completed","No Results Available","Drug: HLX01|Drug: Rituximab|Drug: CHOP","Phase 3","null","https://ClinicalTrials.gov/show/NCT02787239"
627,"NCT02624986","A Study of Idasanutlin in Combination With Obinutuzumab in Relapsed/Refractory (R/R) Follicular Lymphoma (FL) and in Combination With Rituximab in R/R Diffuse Large B-Cell Lymphoma (DLBCL) Participants",,"Active, not recruiting","No Results Available","Drug: Idasanutlin|Drug: Obinutuzumab|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02624986"
628,"NCT00466531","Treatment of Relapsed or Chemotherapy Refractory Chronic Lymphocytic Leukemia or Indolent B Cell Lymphoma Using Autologous T Cells Genetically Targeted to the B Cell Specific Antigen CD19",,"Active, not recruiting","No Results Available","Biological: therapeutic autologous lymphocytes|Drug: cyclophosphamide","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00466531"
629,"NCT02086175","A Phase 2 Clinical Trial of Rituxan and B-Glucan PGG in Relapsed Indolent Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Drug: Imprime PGG|Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT02086175"
630,"NCT00880867","Intratumoral Poly-ICLC Plus Low Dose Local Radiation in Low Grade Recurrent B and T Cell Lymphoma",,"Terminated","No Results Available","Drug: Poly-ICLC","Phase 1","null","https://ClinicalTrials.gov/show/NCT00880867"
631,"NCT00294632","Lenalidomide and Rituximab in the Treatment of Relapsed Mantle Cell Lymphoma (MCL) and Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Drug: Lenalidomide|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00294632"
632,"NCT03410901","TLR9 Agonist SD-101, Anti-OX40 Antibody BMS 986178, and Radiation Therapy in Treating Patients With Low-Grade B-Cell Non-Hodgkin Lymphomas",,"Recruiting","No Results Available","Biological: Anti-OX40 Antibody BMS 986178|Other: Laboratory Biomarker Analysis|Radiation: Radiation Therapy|Drug: TLR9 Agonist SD-101","Phase 1","null","https://ClinicalTrials.gov/show/NCT03410901"
633,"NCT00210366","Salvage Therapy With Idarubicin in Relapsing CNS Lymphoma",,"Terminated","No Results Available","Drug: Idarubicin","Phase 2","null","https://ClinicalTrials.gov/show/NCT00210366"
634,"NCT00210314","Phase II Trial of Combined Modality Treatment in Primary Central Nervous System Lymphoma",,"Completed","No Results Available","Drug: high dose methotrexate|Drug: high dose cytarabine|Radiation: radiotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00210314"
635,"NCT00907348","Prospective Multicenter Dose Finding Phase II Pilot Trial to Evaluate Efficacy and Safety of LR-CHOP21 for Elderly Patients With Untreated Diffuse Large B Cell Lymphoma","REAL07","Unknown status","No Results Available","Drug: LR-CHOP21","Phase 2","null","https://ClinicalTrials.gov/show/NCT00907348"
636,"NCT00329030","Rituxan vs Bexxar When Combined With Carmustine, Etoposide, Cytarabine and Melphalan (BEAM) With Autologous Hematopoietic Stem Cell Transplantation (BMT CTN 0401)",,"Completed","Has Results","Drug: Autologous transplantation using rituxan/BEAM|Drug: Autologous transplantation using Bexxar/BEAM","Phase 3","June 10, 2016","https://ClinicalTrials.gov/show/NCT00329030"
637,"NCT01118845","Study of SyB L-0501 in Combination With Rituximab to Treat Relapsed/Refractory Diffuse Large B-Cell Lymphoma",,"Completed","Has Results","Drug: SyB L-0501|Drug: Rituximab","Phase 2","July 4, 2013","https://ClinicalTrials.gov/show/NCT01118845"
638,"NCT01300793","Study of Standard-Dose Rituximab, Ifosfamide, Carboplatin and Etoposide","V-RICE","Terminated","No Results Available","Drug: Velcade (bortezomib), rituximab, ifosfamide, carboplatin, etoposide","Phase 1","null","https://ClinicalTrials.gov/show/NCT01300793"
639,"NCT00256490","Early Evaluation of the Response of Large B Cell Non Hodgkin’s Lymphoma to Chemotherapy by PET/CT",,"Unknown status","No Results Available","Procedure: PET/CT 20 days after the first cycle of chemotherapy","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00256490"
640,"NCT02082977","A Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics and Clinical Activity of GSK2816126 in Subjects With Relapsed/Refractory Diffuse Large B Cell Lymphoma, Transformed Follicular Lymphoma, Other Non-Hodgkin's Lymphomas, Solid Tumors and Multiple Myeloma",,"Terminated","No Results Available","Drug: GSK2816126","Phase 1","null","https://ClinicalTrials.gov/show/NCT02082977"
641,"NCT02623920","Brentuximab Vedotin, Bendamustine, and Rituximab in Patients With Relapsed or Refractory B-cell Non-Hodgkin Lymphoma","S-BR","Withdrawn","No Results Available","Drug: Brentuximab|Drug: Bendamustine|Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT02623920"
642,"NCT02405676","BNHL-2015 for Children or Adolescents in China","BNHL-2015","Recruiting","No Results Available","Drug: Prednisone,Vincristine, Cyclophosphamide|Drug: Cyclophosphamide, Vincristine, Cytarabine, Doxorubincin, Prednisone|Drug: Ifosphamide, Etoposide, Methotrexate, Vincristine, Prednisone|Drug: Cyclophosphamide, Vindelsine, Cytarabine, Doxorubincin, Prednisone|Drug: Ifosphamide, Etoposide, Methotrexate, Vindelsine, Prednisone|Drug: Rituximab","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT02405676"
643,"NCT03147885","Selinexor Plus Combination Chemotherapy in Treating Patients With Advanced B Cell Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Drug: Selinexor","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03147885"
644,"NCT00968760","CD19-specific T Cell Infusion in Patients With B-Lineage Lymphoid Malignancies",,"Active, not recruiting","No Results Available","Procedure: Leukapheresis|Procedure: Stem Cell Transplant|Procedure: CD19-specific T Cell Infusion|Drug: IL-2|Drug: Carmustine|Drug: Etoposide|Drug: Cytarabine|Drug: Melphalan","Phase 1","null","https://ClinicalTrials.gov/show/NCT00968760"
645,"NCT02992522","Obinutuzumab, Venetoclax, and Lenalidomide in Treating Patients With Relapsed or Refractory B-cell Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Drug: Lenalidomide|Biological: Obinutuzumab|Drug: Venetoclax","Phase 1","null","https://ClinicalTrials.gov/show/NCT02992522"
646,"NCT00881920","Kappa-CD28 T Lymphocytes, Chronic Lymphocytic Leukemia, B-cell Lymphoma or Multiple Myeloma, CHARKALL","CHARKALL","Recruiting","No Results Available","Biological: Kappa CD28 T cells","Phase 1","null","https://ClinicalTrials.gov/show/NCT00881920"
647,"NCT01078922","Patients With Relapsed or Refractory Diffuse Large B Cell Non Hodgkin Lymphomas",,"Terminated","Has Results","Drug: Ofatumumab","Phase 2","May 2, 2014","https://ClinicalTrials.gov/show/NCT01078922"
648,"NCT03570892","Tisagenlecleucel in Adult Patients With Aggressive B-cell Non-Hodgkin Lymphoma","BELINDA","Not yet recruiting","No Results Available","Drug: Tisagenlecleucel after optional bridging and lymphodepleting chemotherapy|Drug: Platinum-based immunochemotherapy followed in responding patients with high dose chemotherapy and HSCT","Phase 3","null","https://ClinicalTrials.gov/show/NCT03570892"
649,"NCT00225212","Rituximab After Autologous Stem Cell Transplant for Relapsed B-cell Non-Hodgkin's Lymphoma",,"Completed","Has Results","Drug: Rituximab 375 mg/m2","Phase 2","September 5, 2014","https://ClinicalTrials.gov/show/NCT00225212"
650,"NCT00482053","Phase 2 Poor Risk DLBCL of TLI and ATG Followed by Matched Allogeneic HT as Consolidation to Autologous HCT",,"Terminated","Has Results","Procedure: Autologous hematopoietic stem cell transplantation (auto-HSCT)|Procedure: Allogeneic hematopoietic stem cell transplantation (allo-HSCT)|Procedure: Total lymphoid irradiation (TLI)|Drug: Rituximab|Drug: Carmustine|Drug: Etoposide|Drug: Filgrastim|Drug: Anti-thymocyte globulin (ATG)|Drug: Cyclosporine|Drug: Mycophenolate mofetil (MMF)|Drug: Cyclophosphamide|Drug: Acetaminophen|Drug: Diphenhydramine|Drug: Hydrocortisone|Drug: Methylprednisolone","Phase 2","May 14, 2018","https://ClinicalTrials.gov/show/NCT00482053"
651,"NCT03642626","MT2017-45 :CAR-T Cell Therapy for Heme Malignancies",,"Not yet recruiting","No Results Available","Drug: KYMRIAH|Drug: YESCARTA|Drug: Fludarabine|Drug: Cyclophosphamide","Phase 2","null","https://ClinicalTrials.gov/show/NCT03642626"
652,"NCT03277729","A Phase I/II Study to Evaluate the Safety of Cellular Immunotherapy Using Autologous T Cells Engineered to Express a CD20-Specific Chimeric Antigen Receptor for Patients With Relapsed or Refractory B Cell Non-Hodgkin Lymphomas",,"Recruiting","No Results Available","Biological: Chimeric Antigen Receptor T-Cell Therapy|Drug: Cyclophosphamide|Drug: Fludarabine|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03277729"
653,"NCT03484702","Trial to Determine the Efficacy and Safety of JCAR017 in Adult Subjects With Aggressive B-Cell Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Drug: JCAR017","Phase 2","null","https://ClinicalTrials.gov/show/NCT03484702"
654,"NCT02747732","Study of Ibrutinib in Combination With Bendamustine and Rituximab for Patients With Relapsed/Refractory Aggressive BCL",,"Recruiting","No Results Available","Drug: Bendamustine 90 mg/m2 IV on Days 1-2, Cycles 1-6","Phase 2","null","https://ClinicalTrials.gov/show/NCT02747732"
655,"NCT01122472","Study of Lenalidomide Maintenance Versus Placebo in Responding Elderly Patients With DLBCL and Treated With R-CHOP","REMARC","Active, not recruiting","No Results Available","Drug: Lenalidomide|Drug: Placebo","Phase 3","null","https://ClinicalTrials.gov/show/NCT01122472"
656,"NCT01030900","Phase II Trial of Alemtuzumab (Campath) and Dose-Adjusted EPOCH-Rituximab (DA-EPOCH-R) in Relapsed or Refractory Diffuse Large B-Cell and Hodgkin Lymphomas",,"Active, not recruiting","No Results Available","Biological: campath|Biological: Rituximab|Drug: EPOCH","Phase 2","null","https://ClinicalTrials.gov/show/NCT01030900"
657,"NCT02168907","CPI-613, Bendamustine Hydrochloride, and Rituximab in Treating Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma",,"Terminated","No Results Available","Drug: 6,8-bis(benzylthio)octanoic acid|Drug: bendamustine hydrochloride|Biological: rituximab|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT02168907"
658,"NCT03093831","Phase II Study of Ibrutinib in Patients With Relapsed or Refractory Marginal Zone Lymphoma",,"Recruiting","No Results Available","Drug: Ibrutinib","Phase 2","null","https://ClinicalTrials.gov/show/NCT03093831"
659,"NCT03079947","Effectiveness of Circulating DNA for Predicting the Relapse and Overall Survival in NHL Patients",,"Recruiting","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT03079947"
660,"NCT02367040","Copanlisib and Rituximab in Relapsed Indolent B-cell Non-Hodgkin's Lymphoma (iNHL)","CHRONOS-3","Recruiting","No Results Available","Drug: Copanlisib (BAY 80-6946)|Drug: Placebo|Drug: Rituximab","Phase 3","null","https://ClinicalTrials.gov/show/NCT02367040"
661,"NCT01680991","A Study of Obinutuzumab in Chinese Participants With CD20+ Malignant Disease",,"Completed","Has Results","Drug: Obinutuzumab","Phase 1","April 25, 2016","https://ClinicalTrials.gov/show/NCT01680991"
662,"NCT02981745","Study of Safety,Efficacy and Pharmacokinetics of CT-1530 in Patients With Relapsed or Refractory B Cell Non-Hodgkin Lymphoma, Chronic Lymphocytic Leukemia, and Waldenstrom's Macroglobulinemia",,"Recruiting","No Results Available","Drug: CT-1530","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02981745"
663,"NCT01955499","Lenalidomide and Ibrutinib in Treating Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma",,"Active, not recruiting","No Results Available","Drug: Ibrutinib|Drug: Lenalidomide|Other: Pharmacological Study","Phase 1","null","https://ClinicalTrials.gov/show/NCT01955499"
664,"NCT03103971","huJCAR014 CAR-T Cells in Treating Adult Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma or Acute Lymphoblastic Leukemia",,"Recruiting","No Results Available","Biological: Autologous Human Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T-lymphocytes|Drug: Cyclophosphamide|Drug: Fludarabine|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis|Other: Pharmacological Study","Phase 1","null","https://ClinicalTrials.gov/show/NCT03103971"
665,"NCT01239875","Vaccine Therapy With or Without Cryosurgery in Treating Patients With Residual, Relapsed, or Refractory B-Cell Non-Hodgkin Lymphoma",,"Terminated","No Results Available","Biological: dendritic cell vaccine therapy|Procedure: cryotherapy|Biological: pneumococcal polyvalent vaccine|Other: laboratory biomarker analysis|Other: immunoenzyme technique|Other: immunohistochemistry staining method|Biological: autologous dendritic cell-tumor fusion vaccine","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01239875"
666,"NCT03620578","DA-EPOCH-R Induction Followed by Nivolumab Consolidation in Newly Diagnosed MYC, BCL2 and/or BCL6 Rearranged HGBL","HO152","Recruiting","No Results Available","Drug: DA-EPOCH-R followed by Nivolumab","Phase 2","null","https://ClinicalTrials.gov/show/NCT03620578"
667,"NCT02650414","CD22 Redirected Autologous T Cells for ALL",,"Recruiting","No Results Available","Biological: CART22 cells transduced with a lentiviral vector to express anti-CD22 scFv TCRz:41BB","Phase 1","null","https://ClinicalTrials.gov/show/NCT02650414"
668,"NCT00720135","Fusion Protein Cytokine Therapy After Rituximab in Treating Patients With B-Cell Non-Hodgkin Lymphoma",,"Completed","No Results Available","Biological: DI-Leu16-IL2 immunocytokine|Biological: rituximab|Other: flow cytometry|Other: immunohistochemistry staining method|Other: pharmacological study|Other: laboratory biomarker analysis|Other: enzyme-linked immunosorbent assay|Genetic: reverse transcriptase-polymerase chain reaction","Phase 1","null","https://ClinicalTrials.gov/show/NCT00720135"
669,"NCT01055496","Study Evaluating Chemotherapy in Combination With Inotuzumab Ozogamicin In Subjects With Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: inotuzumab ozogamicin+rituximab +cyclophosphamide+vincristine+prednisone|Drug: inotuzumab ozogamicin+rituximab+gemcitabine+cisplatinum+dexamethasone","Phase 1","null","https://ClinicalTrials.gov/show/NCT01055496"
